filename,avg_token_length,avg_identifier_length,num_lines,num_tokens,snake_case_count,comment_density,avg_line_length,tabs,blank_lines,docstrings,function,for_loop_count,while_loop_count,total_loop_count,ast_depth,assignment_count,list_comprehension_count,for_loops_with_append,else_in_loop,label
human39.py,1.18,4.57,7,715,0,0.0,283.0,2,0,0,False,0,0,0,10,2,0,0,0,human
human29.py,2.96,5.66,23,155,2,0.0,16.5,11,5,0,False,3,0,3,9,4,0,4,0,human
human19.py,3.89,8.38,36,272,16,0.0,26.6,22,0,0,False,2,1,3,7,23,0,2,0,human
human18.py,2.13,3.6,21,114,0,0.0,13.3,11,5,0,False,1,0,1,6,6,0,0,0,human
human38.py,2.17,3.62,6,46,0,0.0,14.7,2,1,0,False,1,0,1,7,2,0,0,0,human
human28.py,2.82,5.61,18,118,3,0.0,19.6,0,6,0,False,0,0,0,7,7,2,0,0,human
human33.py,3.11,5.79,9,59,1,0.0,21.1,1,3,0,False,1,0,1,7,3,0,0,0,human
human5.py,1.74,2.69,18,234,0,0.0,24.4,10,2,0,False,4,0,4,13,9,2,0,0,human
human17.py,2.68,5.33,16,128,6,0.0,21.0,2,0,0,False,0,0,0,6,13,0,0,0,human
human23.py,1.51,1.77,24,355,0,0.0,18.8,12,7,0,False,4,0,4,13,2,1,2,0,human
human1.py,2.58,2.35,54,555,0,0.02,17.0,44,10,0,False,6,0,6,16,9,1,2,0,human
human37.py,1.63,2.21,9,78,0,0.0,11.0,4,0,0,False,1,0,1,9,3,0,0,0,human
human27.py,2.11,4.27,9,92,0,0.0,19.9,2,2,0,False,0,0,0,10,1,0,0,0,human
human13.py,1.07,4.0,5,600,1,0.0,209.6,0,1,0,False,0,0,0,5,3,0,0,0,human
human42.py,2.43,4.96,13,89,0,0.08,16.9,0,3,0,False,0,0,0,7,6,1,0,0,human
human36.py,1.67,2.58,2,29,0,0.0,24.0,0,0,0,False,0,0,0,8,1,0,0,0,human
human26.py,1.48,2.12,7,92,0,0.0,17.7,2,0,0,False,2,0,2,9,3,0,0,0,human
human12.py,1.57,2.31,9,42,0,0.0,17.7,2,1,0,False,0,1,1,5,4,0,0,0,human
human43.py,2.09,3.77,14,100,0,0.0,17.0,9,2,0,True,1,0,1,8,1,0,0,0,human
human32.py,1.18,1.8,3,21,0,0.0,9.0,0,0,0,False,0,0,0,5,2,0,0,0,human
human4.py,1.99,3.94,19,158,3,0.0,16.9,6,4,0,False,2,0,2,9,6,0,0,0,human
human16.py,1.95,2.77,12,88,0,0.0,11.9,5,0,0,False,0,2,2,8,5,0,0,0,human
human22.py,1.89,3.64,10,90,0,0.0,18.0,2,1,0,False,0,0,0,6,5,0,0,0,human
human3.py,2.02,3.37,23,168,0,0.0,13.4,10,3,0,True,2,0,2,11,5,0,0,0,human
human35.py,1.54,2.75,3,26,0,0.0,11.7,0,0,0,False,0,0,0,6,2,0,0,0,human
human25.py,1.65,2.45,7,78,0,0.0,15.1,4,0,0,False,1,0,1,11,1,0,2,0,human
human40.py,1.09,3.67,6,839,0,0.0,377.5,2,0,0,False,1,0,1,6,3,0,0,0,human
human11.py,2.5,4.75,9,67,0,0.0,21.9,1,1,0,False,1,0,1,7,4,0,0,0,human
human31.py,1.27,4.36,2,239,0,0.0,229.5,0,0,0,False,0,0,0,9,1,0,0,0,human
human7.py,2.06,3.33,9,57,0,0.0,10.7,4,1,0,False,1,0,1,7,2,0,2,0,human
human15.py,3.04,6.05,13,62,0,0.0,13.4,4,3,0,False,1,0,1,6,3,0,0,0,human
human44.py,2.2,3.58,11,58,0,0.09,11.5,3,2,0,False,1,0,1,6,5,0,0,0,human
human21.py,3.2,6.51,31,198,5,0.0,20.1,10,4,0,False,0,0,0,6,12,0,0,0,human
human30.py,2.59,4.08,7,38,0,0.0,11.0,2,1,0,False,1,0,1,6,2,0,0,0,human
human6.py,2.64,4.41,11,78,0,0.0,15.6,7,2,0,False,2,0,2,8,3,0,1,0,human
human14.py,2.51,4.31,11,89,0,0.0,27.5,5,2,0,False,2,0,2,9,5,0,0,0,human
human45.py,2.49,4.36,58,414,0,0.09,15.9,30,6,0,False,8,0,8,8,22,0,2,0,human
human20.py,2.02,3.98,32,299,0,0.0,17.6,18,4,0,False,0,1,1,11,17,0,0,0,human
human2.py,1.88,2.94,9,67,0,0.0,11.4,5,0,0,False,0,1,1,7,3,0,0,0,human
human34.py,1.51,2.57,5,66,0,0.0,16.6,2,0,0,False,0,0,0,9,1,0,0,0,human
human24.py,1.7,2.43,5,65,0,0.0,19.4,2,0,0,False,1,0,1,10,1,1,0,0,human
human41.py,1.33,4.68,7,318,0,0.0,84.6,3,0,0,False,1,0,1,7,4,0,0,0,human
human10.py,2.48,4.59,6,46,0,0.0,20.5,1,1,0,False,1,0,1,7,2,0,0,0,human
human9.py,2.27,4.75,1,13,0,0.0,25.0,0,0,0,False,0,0,0,6,0,0,0,0,human
human8.py,2.55,4.57,9,90,0,0.0,24.9,3,1,0,False,1,0,1,9,2,0,0,0,human
ai27.py,4.46,9.58,14,109,4,0.29,34.4,6,3,0,True,0,0,0,8,2,0,0,0,ai
ai42.py,2.55,4.89,14,102,1,0.07,17.1,7,2,0,True,0,0,0,9,2,0,0,0,ai
ai13.py,1.21,4.5,9,620,1,0.22,124.4,1,2,0,True,0,0,0,6,2,0,0,0,ai
ai1.py,2.55,2.91,69,544,0,0.06,16.9,68,9,0,True,0,0,0,14,0,0,0,0,ai
ai37.py,3.47,6.57,18,107,3,0.06,19.2,10,3,0,True,0,0,0,7,2,0,0,0,ai
ai17.py,2.35,4.03,7,72,1,0.0,25.6,4,1,0,True,0,0,0,7,0,0,0,0,ai
ai23.py,2.84,3.94,23,225,2,0.09,28.2,15,6,0,True,0,0,0,10,0,0,0,0,ai
ai33.py,4.21,6.16,24,112,2,0.17,19.6,13,6,0,True,0,0,0,7,1,0,0,0,ai
ai5.py,3.09,4.11,87,581,9,0.14,20.0,68,15,0,True,0,0,0,10,1,0,0,0,ai
ai16.py,2.44,2.43,19,114,1,0.16,12.8,11,2,0,True,0,0,0,9,3,0,0,0,ai
ai22.py,4.68,3.05,18,81,0,0.33,19.9,0,5,0,False,0,0,0,8,5,0,0,0,ai
ai32.py,3.19,6.73,7,41,2,0.14,18.4,1,1,0,True,0,0,0,6,2,0,0,0,ai
ai4.py,3.24,4.75,34,208,2,0.06,17.6,22,9,0,True,0,0,0,10,0,0,0,0,ai
ai26.py,4.6,7.21,16,82,4,0.19,23.7,7,4,0,True,0,0,0,7,2,0,0,0,ai
ai43.py,2.38,3.61,14,117,1,0.07,18.8,7,3,0,True,1,0,1,9,1,0,0,0,ai
ai12.py,2.57,3.32,15,74,1,0.13,18.0,5,2,0,True,0,0,0,6,4,0,0,0,ai
ai36.py,2.7,4.25,6,44,1,0.17,20.0,1,1,0,True,0,0,0,8,1,0,0,0,ai
ai19.py,3.56,6.11,35,232,6,0.2,21.5,22,6,0,True,0,0,0,7,3,0,0,0,ai
ai29.py,3.04,4.93,34,215,2,0.09,15.2,25,5,0,True,0,0,0,9,1,0,0,0,ai
ai39.py,2.81,5.69,13,96,3,0.08,19.2,7,2,0,True,0,0,0,9,1,0,0,0,ai
ai28.py,5.48,6.47,28,126,4,0.29,23.9,14,8,0,True,0,0,0,7,0,0,0,0,ai
ai38.py,3.49,6.69,6,51,2,0.17,28.3,1,1,0,True,0,0,0,8,1,0,0,0,ai
ai18.py,4.06,7.0,25,139,4,0.2,21.2,11,6,0,True,1,0,1,7,3,0,0,0,ai
ai9.py,5.75,7.14,3,22,1,0.33,37.0,2,0,0,True,0,0,0,6,0,0,0,0,ai
ai8.py,4.54,4.68,9,79,1,0.33,38.8,8,0,0,True,0,0,0,8,0,0,0,0,ai
ai44.py,5.1,6.57,24,117,3,0.25,25.4,15,6,0,True,0,0,0,7,2,0,0,0,ai
ai15.py,5.95,9.35,20,89,4,0.35,25.9,14,4,0,True,0,0,0,6,0,0,0,0,ai
ai21.py,4.4,4.48,14,90,3,0.36,28.6,0,4,0,False,0,0,0,7,4,0,0,0,ai
ai31.py,1.91,7.54,17,484,1,0.06,63.6,7,2,0,True,0,0,0,8,3,0,0,0,ai
ai7.py,2.86,4.41,4,48,1,0.0,36.2,3,0,0,True,0,0,0,8,0,0,0,0,ai
ai25.py,3.4,6.1,15,103,3,0.2,24.1,7,3,0,True,0,0,0,8,2,0,0,0,ai
ai11.py,4.77,5.73,17,92,2,0.35,25.4,10,5,0,True,0,0,0,8,2,0,0,0,ai
ai40.py,3.33,6.53,6,54,2,0.17,29.0,1,1,0,True,0,0,0,9,1,0,0,0,ai
ai3.py,4.56,5.54,15,76,2,0.27,22.1,1,4,0,False,1,0,1,6,3,0,0,0,ai
ai35.py,2.39,3.6,9,61,1,0.11,17.7,3,1,0,True,0,0,0,7,2,0,0,0,ai
ai24.py,3.28,5.56,17,124,4,0.06,23.8,8,3,0,True,0,0,0,9,3,0,0,0,ai
ai10.py,4.74,6.67,11,66,2,0.27,26.5,5,2,0,True,0,0,0,9,0,0,0,0,ai
ai41.py,2.68,4.89,12,95,1,0.08,19.8,5,1,0,True,0,0,0,8,3,0,0,0,ai
ai2.py,2.17,3.5,16,99,0,0.06,11.9,6,4,0,True,0,1,1,7,4,0,0,0,ai
ai34.py,2.89,3.63,11,83,1,0.36,20.6,5,2,0,True,0,0,0,8,1,0,0,0,ai
ai45.py,3.27,4.88,80,536,10,0.16,20.6,68,15,0,True,0,0,0,9,0,0,0,0,ai
ai14.py,2.93,4.68,27,191,3,0.11,33.2,16,6,0,True,0,0,0,9,1,0,0,0,ai
ai20.py,2.82,4.53,59,409,8,0.08,19.4,39,9,0,True,1,0,1,10,7,0,1,0,ai
ai30.py,3.42,6.5,7,58,2,0.14,27.3,1,1,0,True,0,0,0,9,2,0,0,0,ai
ai6.py,2.62,3.98,16,112,2,0.0,20.6,13,1,2,True,0,0,0,8,0,0,0,0,ai
